token,sentiment,polarity
ecstatic,0.65,positive
edged,0.4,positive
edgy,-0.25,negative
educated,0.75,positive
educational,0.45,positive
eerie,-0.5,negative
effective,0.6,positive
effectiveness,0.5,positive
effervescent,0.75,positive
efficacy,0.5,positive
efficiency,0.55,positive
efficient,0.7,positive
efficiently,0.75,positive
effort,0.45,positive
effortless,0.8,positive
egalitarian,0.5,positive
egregious,-0.8,negative
egregiously,-0.7,negative
eject,-0.35,negative
ejectment,-0.35,negative
election,0.05,positive
electrify,0.6,positive
elegant,0.6,positive
elevate,0.45,positive
elevated,0.5,positive
elevation,0.4,positive
eliminate,-0.45,negative
emasculate,-0.65,negative
embargo,-0.6,negative
embarrass,-0.25,negative
embarrassment,-0.4,negative
embattled,-0.65,negative
embezzle,-0.8,negative
embezzlement,-0.65,negative
embezzler,-0.7,negative
embrace,0.55,positive
embroil,-0.65,negative
emerge,0.3,positive
emotional,-0.25,negative
emphasize,0.4,positive
employable,0.55,positive
empower,0.75,positive
empt,-0.4,negative
enable,0.25,positive
enchanting,0.7,positive
encourage,0.45,positive
encouragement,0.65,positive
encroach,-0.3,negative
encroachment,-0.45,negative
encumber,-0.45,negative
encumbrance,-0.4,negative
encumbrancer,-0.3,negative
encumbrancers,-0.55,negative
endanger,-0.8,negative
endangerment,-0.7,negative
endeavor,0.35,positive
endemic,-0.5,negative
endorsement,0.7,positive
enemy,-0.6,negative
energetic,0.75,positive
energize,0.6,positive
enfeebled,-0.6,negative
enforceability,-0.2,negative
engage,0.25,positive
enhance,0.5,positive
enhancement,0.65,positive
enjoy,0.5,positive
enjoyable,0.55,positive
enjoyably,0.65,positive
enjoyment,0.5,positive
enlarge,0.5,positive
enlighten,0.5,positive
enliven,0.7,positive
enormous,0.85,positive
enrage,-0.5,negative
enriched,0.55,positive
ensconce,0.6,positive
enshrine,0.6,positive
ensnare,-0.1,negative
ensure,0.2,positive
entangle,-0.5,negative
enter,0.3,positive
entertain,0.35,positive
entertaining,0.6,positive
entertainment,0.45,positive
enthuse,0.4,positive
enthusiasm,0.6,positive
enthusiast,0.35,positive
enthusiastic,0.8,positive
enthusiastically,0.65,positive
entice,0.65,positive
enticement,0.6,positive
enticing,0.45,positive
entrust,0.45,positive
envious,-0.3,negative
envision,0.4,positive
ephemeral,-0.25,negative
epic,0.75,positive
epidemic,-1,negative
equal,0.35,positive
equality,0.6,positive
equate,0.1,positive
equilibrium,0.25,positive
equip,0.45,positive
equivalent,0.1,positive
erect,0.7,positive
erode,-0.4,negative
erosion,-0.4,negative
err,-0.3,negative
errant,-0.1,negative
erratic,-0.45,negative
erratically,-0.45,negative
erroneous,-0.55,negative
erroneously,-0.55,negative
error,-0.35,negative
eruption,-0.45,negative
escheat,-0.1,negative
escheated,-0.3,negative
eschew,-0.35,negative
essence,0.5,positive
essential,0.35,positive
establish,0.35,positive
esteem,0.45,positive
estoppel,-0.05,negative
ethic,0.7,positive
ethical,0.6,positive
evade,-0.3,negative
evaporate,-0.35,negative
evasion,-0.4,negative
evasive,-0.4,negative
evergreen,0.55,positive
evict,-0.65,negative
eviction,-0.65,negative
evident,0.35,positive
evil,-0.8,negative
evolutionary,0.4,positive
evolve,0.5,positive
exacerbate,-0.5,negative
exact,0.35,positive
exaggerate,-0.2,negative
exaggeration,-0.15,negative
exasperated,-0.65,negative
excel,0.75,positive
excellence,0.65,positive
excellent,0.85,positive
exceptional,0.9,positive
excite,0.65,positive
excitement,0.55,positive
exciting,0.75,positive
exclude,-0.35,negative
excruciating,-0.7,negative
executrix,-0.1,negative
executrixes,-0.4,negative
exemplary,0.6,positive
exhaust,-0.4,negative
exhausted,-0.45,negative
exhausting,-0.5,negative
exhaustion,-0.45,negative
exile,-0.6,negative
exodus,-0.9,negative
expansion,0.75,positive
expansionary,0.6,positive
expedite,0.3,positive
expel,-0.4,negative
expensive,-0.35,negative
experience,0.3,positive
expert,0.55,positive
expiration,-0.3,negative
expire,-0.4,negative
expiry,-0.25,negative
explicit,-0.6,negative
exploit,-0.7,negative
exploitation,-0.75,negative
exploitative,-0.5,negative
explosion,-0.6,negative
exponential,0.5,positive
expose,-0.2,negative
expression,0.2,positive
expressive,0.4,positive
expropriate,-0.4,negative
expropriation,-0.65,negative
expulsion,-0.4,negative
extent,0.15,positive
extinction,-0.8,negative
extol,0.55,positive
extort,-0.5,negative
extortion,-0.8,negative
extortionate,-0.55,negative
extraordinary,0.75,positive
extravagant,0.6,positive
fabulous,0.8,positive
faceless,-0.4,negative
factual,0.7,positive
fade,-0.2,negative
fading,-0.4,negative
fail,-0.8,negative
failed,-0.75,negative
failure,-0.7,negative
fair,0.4,positive
fairness,0.55,positive
faith,0.75,positive
faithful,0.7,positive
fake,-0.5,negative
faller,-0.25,negative
falloff,-0.4,negative
fallout,-0.6,negative
falsely,-0.5,negative
falsification,-0.6,negative
falsify,-0.55,negative
falsity,-0.5,negative
falter,-0.5,negative
faltering,-0.45,negative
fame,0.65,positive
famous,0.6,positive
fan,0.3,positive
fancy,0.6,positive
fantastic,0.9,positive
farce,-0.4,negative
fare,0.45,positive
fascinating,0.65,positive
fascination,0.75,positive
fashionable,0.65,positive
fashioned,0.4,positive
fastest,0.6,positive
fastidious,0.4,positive
fatal,-0.8,negative
fatality,-0.8,negative
fatally,-0.9,negative
fate,0.2,positive
fateful,0.45,positive
fatigue,-0.4,negative
fault,-0.4,negative
faulty,-0.4,negative
faux,-0.4,negative
favor,0.375,positive
favorable,0.5,positive
favorably,0.7,positive
favored,0.65,positive
favorite,0.6,positive
faze,-0.15,negative
fear,-0.55,negative
fearful,-0.8,negative
fearlessness,0.55,positive
feat,0.45,positive
feckless,-0.75,negative
feeble,-0.3,negative
feelgood,0.5,positive
fell,-0.4,negative
felonious,-0.65,negative
felony,-0.7,negative
fend,0.5,positive
ferocious,-0.4,negative
feud,-0.45,negative
fever,-0.45,negative
fevered,-0.4,negative
feverish,-0.35,negative
fiasco,-0.55,negative
fickle,-0.3,negative
fictitious,-0.15,negative
fiddly,-0.35,negative
fighting,-0.5,negative
fill,0.15,positive
filthy,-0.6,negative
finalize,0.65,positive
finding,0.3,positive
fine,0.4,positive
fire,-0.05,negative
firing,-0.8,negative
fishy,-0.6,negative
fixing,0.6,positive
fizzle,-0.3,negative
flabby,-0.45,negative
flag,-0.25,negative
flagging,-0.15,negative
flailing,-0.35,negative
flaky,-0.5,negative
flare,0.4,positive
flatline,-0.55,negative
flattish,-0.3,negative
flavor,0.4,positive
flaw,-0.3,negative
flawless,0.85,positive
flee,-0.55,negative
fleece,-0.15,negative
flexibility,0.55,positive
flexible,0.45,positive
flimsy,-0.4,negative
flinch,-0.4,negative
flock,0.05,positive
flog,-0.25,negative
flood,-0.45,negative
floored,-0.2,negative
flop,-0.3,negative
flourish,0.7,positive
flout,-0.4,negative
fluctuate,-0.25,negative
fluctuation,-0.35,negative
fluent,0.5,positive
fluffy,0.3,positive
flunk,-0.5,negative
fob,-0.05,negative
focus,0.4,positive
foe,-0.4,negative
fog,-0.25,negative
foist,-0.45,negative
fold,-0.3,negative
folly,-0.7,negative
fond,0.4,positive
fondness,0.45,positive
fool,-0.75,negative
foolhardy,-0.5,negative
foolish,-0.3,negative
forbearance,-0.2,negative
forbearances,-0.25,negative
forbid,-0.4,negative
foreclose,-0.7,negative
foreclosed,-0.9,negative
foreclosure,-0.45,negative
foremost,0.3,positive
foresee,0.6,positive
foreseeable,0.2,positive
forfeit,-0.45,negative
forfeiture,-0.3,negative
forgery,-0.6,negative
forget,-0.4,negative
forgive,0.7,positive
forgiveness,0.45,positive
forgiving,0.6,positive
forgone,-0.25,negative
formalize,0.4,positive
forswear,-0.2,negative
fortified,0.7,positive
fortify,0.4,positive
fortunate,0.7,positive
fortune,0.5,positive
foul,-0.4,negative
fractious,-0.25,negative
fracture,-0.45,negative
fractured,-0.5,negative
fracturing,-0.5,negative
fragile,-0.6,negative
fragility,-0.3,negative
fragment,-0.25,negative
fragmentary,-0.2,negative
frail,-0.65,negative
frantic,-0.35,negative
fraud,-0.65,negative
fraudulence,-0.6,negative
fraudulent,-0.8,negative
fraudulently,-0.7,negative
freeze,-0.2,negative
freezing,-0.5,negative
frenetic,-0.2,negative
frenzied,-0.25,negative
fret,-0.35,negative
friction,-0.35,negative
friend,0.65,positive
friendly,0.5,positive
friendship,0.95,positive
fright,-0.4,negative
frighten,-0.45,negative
frightening,-0.7,negative
frivolous,-0.3,negative
frivolously,-0.35,negative
frontline,0.5,positive
frontrunner,0.55,positive
frown,-0.4,negative
fruitful,0.75,positive
fruition,0.6,positive
fruitless,-0.65,negative
frustrate,-0.45,negative
frustratingly,-0.45,negative
frustration,-0.5,negative
fry,-0.25,negative
fuelled,0.35,positive
fugitive,-0.65,negative
fulfill,0.45,positive
fumble,-0.7,negative
functioning,0.65,positive
fundamental,0.35,positive
funding,0.65,positive
fundraising,0.6,positive
funk,-0.25,negative
funny,0.4,positive
furnishing,0.3,positive
fury,-0.45,negative
fuss,-0.2,negative
fussy,-0.35,negative
fusty,-0.2,negative
futile,-0.35,negative
fuzzy,-0.3,negative
gain,0.5,positive
gainful,0.45,positive
gambling,-0.3,negative
gargantuan,0.6,positive
gasp,-0.3,negative
gaudy,-0.25,negative
generate,0.6,positive
generative,0.6,positive
generosity,0.7,positive
generous,0.6,positive
genius,0.7,positive
genteel,0.5,positive
gentle,0.5,positive
gentlemanly,0.7,positive
genuine,0.7,positive
ghastly,-0.65,negative
gift,0.9,positive
gifted,0.7,positive
gigantic,0.5,positive
glad,0.65,positive
glamor,0.5,positive
glamorous,0.6,positive
gleam,0.65,positive
glean,0.3,positive
glisten,0.6,positive
glitch,-0.3,negative
glitter,0.35,positive
glitz,0.4,positive
gloom,-0.55,negative
gloomy,-0.4,negative
glorified,0.65,positive
glory,0.75,positive
glow,0.55,positive
glue,0.1,positive
glum,-0.4,negative
goal,0.7,positive
godsend,0.95,positive
golden,0.55,positive
goldmine,0.9,positive
good,0.5,positive
goodwill,0.5,positive
gouge,-0.6,negative
graceful,0.65,positive
gracious,0.6,positive
grail,0.3,positive
grant,0.35,positive
grantors,0.05,positive
grasp,0.35,positive
grateful,0.65,positive
gratify,0.5,positive
gratitude,0.55,positive
grave,-0.8,negative
great,0.7,positive
greatly,0.75,positive
greatness,0.7,positive
greed,-0.45,negative
greedy,-0.8,negative
greet,0.2,positive
grief,-0.5,negative
grievance,-0.4,negative
grieving,-0.7,negative
grievous,-0.45,negative
grim,-0.35,negative
gripe,-0.4,negative
grisly,-0.8,negative
grit,0.35,positive
gritty,-0.4,negative
groan,-0.25,negative
groove,0.5,positive
groovy,0.55,positive
growing,0.45,positive
grubby,-0.5,negative
grueling,-0.6,negative
gruesome,-0.8,negative
grumble,-0.5,negative
grungy,-0.4,negative
guaranteed,0.75,positive
guard,0.5,positive
guide,0.25,positive
guideline,0.2,positive
guilt,-0.45,negative
guilty,-0.5,negative
gullible,-0.55,negative
gut,-0.4,negative
halt,-0.3,negative
hammer,-0.3,negative
hamper,-0.6,negative
handicap,-0.6,negative
handicapped,-0.45,negative
handsome,0.8,positive
hangover,-0.5,negative
haphazard,-0.6,negative
happily,0.6,positive
happiness,0.7,positive
happy,0.5,positive
harass,-0.45,negative
harassment,-0.7,negative
hard,-0.225,negative
hard time,-0.8,negative
harder,-0.35,negative
hardship,-0.5,negative
hardworking,0.7,positive
harm,-0.6,negative
harmful,-0.7,negative
harmfully,-0.5,negative
harmless,0.5,positive
harmonious,0.4,positive
harmonise,0.55,positive
harmonize,0.65,positive
harmonized,0.65,positive
harmony,0.65,positive
harrowing,-0.4,negative
harsh,-0.65,negative
harshly,-0.5,negative
harshness,-0.45,negative
harvesting,0.5,positive
hasty,-0.35,negative
hate,-0.5,negative
haunting,-0.45,negative
havoc,-0.55,negative
hawkish,-0.3,negative
hazard,-0.65,negative
hazardous,-0.55,negative
hazy,-0.35,negative
headache,-0.6,negative
headway,0.4,positive
headwind,-0.25,negative
heal,0.5,positive
healing,0.65,positive
healthful,0.5,positive
healthy,0.7,positive
heart,0.8,positive
heartbeat,0.2,positive
hearted,0.65,positive
hearten,0.45,positive
heartfelt,0.7,positive
heartless,-0.65,negative
hearty,0.45,positive
heat,-0.25,negative
heatwave,-0.2,negative
heavenly,0.6,positive
heck,-0.05,negative
hectic,-0.4,negative
height,0.35,positive
heightened,0.45,positive
hell,-0.9,negative
hellish,-0.8,negative
helpful,0.75,positive
helpless,-0.4,negative
hemorrhage,-0.6,negative
hemorrhaging,-0.8,negative
hero,0.9,positive
heroic,0.7,positive
hesitant,-0.5,negative
hesitate,-0.3,negative
hesitation,-0.3,negative
hiatus,-0.3,negative
hiccup,-0.3,negative
hide,-0.3,negative
hideous,-0.55,negative
higher,0.5,positive
highflying,0.55,positive
highlight,0.35,positive
hijack,-0.55,negative
hijacking,-0.8,negative
hike,0.4,positive
hinder,-0.45,negative
hindrance,-0.4,negative
hiring,0.4,positive
hit,-0.45,negative
hoard,-0.2,negative
hoax,-0.5,negative
hobble,-0.3,negative
hobbled,-0.3,negative
hollow,-0.4,negative
honest,0.75,positive
honesty,0.65,positive
honeymoon,0.25,positive
honor,0.6,positive
honorable,0.75,positive
hoodwink,-0.5,negative
hope,0.45,positive
hopeful,0.45,positive
hopeless,-0.7,negative
horrendous,-0.75,negative
horrible,-0.8,negative
horrified,-0.7,negative
horrifying,-0.75,negative
horror,-0.65,negative
hostage,-0.4,negative
hostile,-0.6,negative
hostility,-0.8,negative
hotbed,-0.3,negative
hound,-0.2,negative
humble,0.45,positive
humiliating,-0.8,negative
humiliation,-0.75,negative
humility,0.3,positive
humongous,0.65,positive
humor,0.5,positive
hung,-0.35,negative
hurricane,-0.65,negative
hurt,-0.45,negative
hypocritical,-0.65,negative
hysteria,-0.35,negative
iconic,0.6,positive
idea,0.4,positive
ideal,0.6,positive
idle,-0.15,negative
idled,-0.15,negative
iffy,-0.35,negative
ignore,-0.3,negative
ill,-0.3,negative
illegal,-0.45,negative
illegality,-0.6,negative
illegally,-0.8,negative
illegible,-0.3,negative
illegitimate,-0.8,negative
illicit,-0.45,negative
illicitly,-0.55,negative
illiquid,-0.2,negative
illiquidity,-0.5,negative
illness,-0.5,negative
illogical,-0.55,negative
illusion,-0.3,negative
illustrious,0.55,positive
imaginative,0.6,positive
imbalance,-0.4,negative
imbalanced,-0.55,negative
immateriality,-0.25,negative
immature,-0.4,negative
immediate,0.2,positive
immoral,-0.8,negative
immune,0.75,positive
immunize,0.45,positive
impair,-0.75,negative
impairment,-0.45,negative
impasse,-0.35,negative
impassioned,0.5,positive
impatient,-0.5,negative
impeccable,0.7,positive
impede,-0.4,negative
impediment,-0.4,negative
impend,-0.1,negative
imperfect,-0.45,negative
imperfection,-0.35,negative
imperil,-0.4,negative
impermissible,-0.35,negative
impinge,-0.6,negative
impleaded,-0.3,negative
implement,0.55,positive
implicate,-0.3,negative
implicit,-0.25,negative
implode,-0.75,negative
importance,0.7,positive
important,0.6,positive
impose,-0.4,negative
imposition,-0.3,negative
impossibility,-0.5,negative
impossible,-0.3,negative
impotent,-0.55,negative
impound,-0.25,negative
impracticable,-0.4,negative
impractical,-0.4,negative
impracticality,-0.4,negative
imprecise,-0.5,negative
imprecision,-0.6,negative
impregnable,0.6,positive
impress,0.45,positive
impressed,0.65,positive
impressive,0.7,positive
impressively,0.65,positive
imprisonment,-0.8,negative
improbability,-0.35,negative
improbable,-0.3,negative
improper,-0.55,negative
improperly,-0.35,negative
impropriety,-0.5,negative
improve,0.55,positive
improvement,0.6,positive
imprudent,-0.3,negative
imprudently,-0.4,negative
impunity,-0.45,negative
inability,-0.45,negative
inaccessible,-0.4,negative
inaccuracy,-0.4,negative
inaccurate,-0.6,negative
inaccurately,-0.5,negative
inaction,-0.65,negative
inactivate,-0.3,negative
inactivation,-0.3,negative
inactive,-0.5,negative
inactivity,-0.5,negative
inadequacy,-0.5,negative
inadequate,-0.3,negative
inadequately,-0.5,negative
inadvertent,-0.2,negative
inadvertently,-0.2,negative
inadvisability,-0.4,negative
inadvisable,-0.55,negative
inappropriate,-0.4,negative
inappropriately,-0.45,negative
inattention,-0.4,negative
incapable,-0.4,negative
incapacitate,-0.8,negative
incapacity,-0.3,negative
incarcerate,-0.6,negative
incarceration,-0.75,negative
incendiary,-0.55,negative
incentive,0.5,positive
incestuous,-0.65,negative
inchoate,-0.15,negative
incidence,-0.4,negative
incident,-0.3,negative
incompatibility,-0.4,negative
incompatible,-0.65,negative
incompetence,-0.65,negative
incompetency,-0.55,negative
incompetent,-0.8,negative
incompetently,-0.75,negative
incomplete,-0.3,negative
incompletely,-0.5,negative
incomprehensible,-0.6,negative
inconceivable,-0.4,negative
inconclusive,-0.25,negative
inconsistency,-0.45,negative
inconsistent,-0.4,negative
inconsistently,-0.5,negative
inconvenience,-0.4,negative
inconvenient,-0.4,negative
incorrect,-0.55,negative
incorrectly,-0.35,negative
increased,0.65,positive
incredible,0.65,positive
incredibly,0.55,positive
incriminating,-0.8,negative
incursion,-0.25,negative
indecency,-0.4,negative
indecent,-0.4,negative
indefensible,-0.45,negative
indefinite,-0.2,negative
indefinitely,-0.2,negative
indeterminable,-0.35,negative
indeterminate,-0.4,negative
indict,-0.25,negative
indictable,-0.7,negative
indictment,-0.7,negative
indifference,-0.15,negative
indifferent,-0.2,negative
indigent,-0.3,negative
indignant,-0.4,negative
indirect,-0.15,negative
indulge,0.3,positive
industrious,0.45,positive
ineffective,-0.4,negative
ineffectively,-0.65,negative
ineffectual,-0.45,negative
inefficiency,-0.5,negative
inefficient,-0.55,negative
inefficiently,-0.6,negative
ineligibility,-0.45,negative
ineligible,-0.35,negative
inept,-0.25,negative
inequality,-0.45,negative
inequitable,-0.4,negative
inequitably,-0.5,negative
inequity,-0.6,negative
inert,-0.25,negative
inevitable,-0.15,negative
inexact,-0.3,negative
inexhaustible,0.5,positive
inexperience,-0.35,negative
inexperienced,-0.4,negative
inexplicable,-0.35,negative
infect,-0.65,negative
infected,-0.75,negative
inferior,-0.65,negative
infest,-0.4,negative
infinite,0.55,positive
inflame,-0.4,negative
inflexible,-0.4,negative
inflict,-0.35,negative
influential,0.45,positive
informative,0.55,positive
infraction,-0.55,negative
infrequent,-0.3,negative
infringe,-0.5,negative
infringement,-0.4,negative
infringer,-0.5,negative
infuriate,-0.5,negative
ingenious,0.7,positive
inheritance,0.65,positive
inhospitable,-0.5,negative
inimical,-0.65,negative
iniquitous,-0.55,negative
initial,0.05,positive
injure,-0.8,negative
injured,-0.6,negative
injurious,-0.65,negative
injury,-0.4,negative
injustice,-0.65,negative
inky,-0.05,negative
inmate,-0.3,negative
innocent,0.4,positive
innovate,0.55,positive
innovation,0.65,positive
innovative,0.65,positive
innovativeness,0.8,positive
innovator,0.55,positive
inordinate,-0.3,negative
inordinately,-0.15,negative
inquire,0.2,positive
insane,-0.55,negative
insecure,-0.3,negative
insecurity,-0.5,negative
insensitive,-0.4,negative
insidious,-0.75,negative
insight,0.6,positive
insightful,0.7,positive
insignificant,-0.45,negative
insolvency,-0.575,negative
insolvent,-0.3,negative
inspiration,0.5,positive
inspirational,0.8,positive
inspire,0.7,positive
inspiring,0.65,positive
instability,-0.6,negative
instill,0.25,positive
instinctive,0.25,positive
insubordination,-0.55,negative
insufficiency,-0.7,negative
insufficient,-0.45,negative
insufficiently,-0.5,negative
insult,-0.7,negative
insurrection,-0.45,negative
intact,0.45,positive
intangible,-0.25,negative
integration,0.5,positive
integrity,0.65,positive
intelligent,0.9,positive
intent,0.35,positive
interactive,0.55,positive
interesting,0.55,positive
interfere,-0.45,negative
interference,-0.45,negative
internationalize,0.4,positive
interrogate,-0.35,negative
interrogation,-0.3,negative
interrogator,-0.3,negative
interrogatory,-0.25,negative
interrupt,-0.3,negative
interruption,-0.5,negative
intestate,-0.05,negative
intimidate,-0.5,negative
intimidating,-0.4,negative
intimidation,-0.6,negative
intolerable,-0.6,negative
intractable,-0.35,negative
intricacy,0.1,positive
intrigue,0.4,positive
introduce,0.25,positive
intrude,-0.55,negative
intrusion,-0.55,negative
intrusive,-0.45,negative
intuitive,0.5,positive
invading,-0.4,negative
invalid,-0.55,negative
invalidate,-0.55,negative
invalidation,-0.35,negative
invalidity,-0.35,negative
invasion,-0.4,negative
invasive,-0.5,negative
invention,0.4,positive
inventor,0.2,positive
investing,0.55,positive
invigorate,0.8,positive
invigorating,0.9,positive
invincible,0.75,positive
invite,0.35,positive
involuntarily,-0.4,negative
involuntary,-0.5,negative
inward,0.5,positive
iron,0.35,positive
irrational,-0.45,negative
irreconcilable,-0.6,negative
irreconcilably,-0.6,negative
irrecoverable,-0.6,negative
irrecoverably,-0.55,negative
irregular,-0.5,negative
irregularity,-0.35,negative
irregularly,-0.25,negative
irrelevant,-0.35,negative
irreparable,-0.8,negative
irreparably,-0.65,negative
irresistible,0.75,positive
irresponsible,-0.7,negative
irreversible,-0.35,negative
irrevocability,-0.35,negative
irrevocable,-0.4,negative
irrevocably,-0.3,negative
irritant,-0.4,negative
irritate,-0.6,negative
irritated,-0.4,negative
irritating,-0.65,negative
irritation,-0.5,negative
isolate,-0.35,negative
isolated,-0.5,negative
isolation,-0.25,negative
issuance,0.45,positive
itemized,0.4,positive
jackpot,0.75,positive
jaded,-0.4,negative
jeopardize,-0.55,negative
jeopardy,-0.7,negative
jewel,0.5,positive
jitter,-0.3,negative
jittery,-0.3,negative
jobless,-0.85,negative
joblessness,-0.7,negative
joinder,0.25,positive
jostle,-0.05,negative
joy,0.5,positive
joyful,0.75,positive
jubilant,0.6,positive
juicy,0.4,positive
jump,0.35,positive
jumpstart,0.3,positive
jumpy,-0.35,negative
junk,-0.35,negative
justifiable,0.35,positive
justify,0.5,positive
keel,-0.3,negative
keen,0.35,positive
kickback,-0.3,negative
kickstart,0.3,positive
kill,-0.7,negative
killer,-0.9,negative
killing,-1,negative
kilter,-0.2,negative
kind,0.35,positive
kindness,0.5,positive
king,0.5,positive
kink,-0.2,negative
lack,-0.4,negative
lackluster,-0.4,negative
lag,-0.25,negative
laggard,-0.6,negative
lambast,-0.4,negative
lambaste,-0.2,negative
lame,-0.55,negative
lament,-0.25,negative
lamentable,-0.55,negative
landless,-0.35,negative
landmark,0.4,positive
landscaped,0.5,positive
lapse,-0.35,negative
largess,0.5,positive
largest,0.55,positive
lash,-0.4,negative
lasting,0.55,positive
latch,0.3,positive
late,-0.3,negative
laugh,0.65,positive
launch,0.3,positive
launder,-0.45,negative
lavish,0.35,positive
lawful,0.4,positive
lawfully,0.3,positive
lawless,-0.55,negative
lawsuit,-0.4,negative
lax,-0.25,negative
layoff,-0.8,negative
lazy,-0.8,negative
leader,0.6,positive
leadership,0.7,positive
leak,-0.35,negative
leakage,-0.7,negative
leaky,-0.35,negative
lean,-0.3,negative
leap,0.75,positive
learn,0.35,positive
learning,0.55,positive
leech,-0.7,negative
leeway,0.5,positive
legalize,0.35,positive
legally,0.1,positive
legendary,0.6,positive
legitimize,0.55,positive
lengthen,0.3,positive
lethal,-0.85,negative
lethargy,-0.4,negative
leveraged,0.45,positive
levy,-0.2,negative
libel,-0.4,negative
libelous,-0.65,negative
liberalized,0.35,positive
liberate,0.5,positive
licensing,0.1,positive
lie,-0.4,negative
life,0.5,positive
lifeblood,0.7,positive
lifeless,-0.85,negative
lifesaving,0.8,positive
lift,0.35,positive
lifting,0.45,positive
likable,0.5,positive
likelihood,0.15,positive
limbo,-0.35,negative
limelight,0.5,positive
limitation,-0.35,negative
limp,-0.3,negative
listless,-0.45,negative
litigation,-0.1,negative
litigious,-0.3,negative
livable,0.5,positive
lively,0.6,positive
living,0.35,positive
loathe,-0.55,negative
lock,-0.05,negative
lockout,-0.3,negative
loggerhead,-0.3,negative
lonely,-0.65,negative
longevity,0.7,positive
loom,-0.45,negative
loose,-0.35,negative
loosen,-0.3,negative
loosening,-0.35,negative
lopsided,-0.35,negative
lose,-0.5,negative
loser,-0.95,negative
loss,-0.75,negative
loth,-0.4,negative
louder,-0.1,negative
lousy,-0.7,negative
love,0.7,positive
lovely,0.9,positive
loving,0.55,positive
lowering,-0.2,negative
lowly,-0.4,negative
lowpaid,-0.5,negative
loyalty,0.8,positive
lucky,0.55,positive
lucrative,0.7,positive
lull,-0.2,negative
lumpy,-0.3,negative
lurk,-0.4,negative
luxurious,0.8,positive
mad,-0.45,negative
magical,0.5,positive
magnificent,0.9,positive
magnify,0.4,positive
maim,-0.5,negative
maintain,0.25,positive
maintenance,0.5,positive
majestic,0.6,positive
makeover,0.2,positive
malaise,-0.5,negative
malfeasance,-0.8,negative
malfunction,-0.7,negative
malice,-0.75,negative
malicious,-0.9,negative
maliciously,-0.8,negative
malign,-0.7,negative
malpractice,-0.6,negative
manage,0.25,positive
manageable,0.4,positive
mangle,-0.6,negative
mania,-0.4,negative
manic,-0.35,negative
manifest,0.5,positive
manipulate,-0.55,negative
manipulation,-0.45,negative
manipulative,-0.5,negative
marketable,0.6,positive
marvelous,0.8,positive
mask,-0.25,negative
masked,-0.25,negative
massacre,-0.6,negative
masterful,0.8,positive
masterly,0.55,positive
masterpiece,0.75,positive
mature,0.7,positive
maturity,0.5,positive
maximize,0.6,positive
maximum,0.6,positive
mayhem,-0.85,negative
meaning,0.5,positive
meaningless,-0.55,negative
measly,-0.4,negative
meddle,-0.4,negative
mediocre,-0.4,negative
mediocrity,-0.35,negative
mega,0.7,positive
melodramatic,-0.55,negative
melt,-0.35,negative
meltdown,-0.8,negative
memorable,0.55,positive
memorandum,0.45,positive
menacing,-0.5,negative
mend,0.4,positive
menial,-0.2,negative
merciless,-0.35,negative
merit,0.75,positive
merry,0.65,positive
mess,-0.65,negative
messy,-0.4,negative
meticulous,0.65,positive
mighty,0.8,positive
militancy,-0.4,negative
mindful,0.45,positive
mindless,-0.4,negative
minus,-0.15,negative
miracle,0.7,positive
miraculous,0.95,positive
mire,-0.5,negative
mired,-0.5,negative
misallocate,-0.45,negative
misapplication,-0.45,negative
misapply,-0.5,negative
misappropriate,-0.5,negative
misappropriation,-0.65,negative
misbehave,-0.6,negative
misbranded,-0.45,negative
miscalculate,-0.5,negative
miscalculation,-0.4,negative
mischaracterize,-0.35,negative
mischief,-0.45,negative
misclassification,-0.35,negative
misclassify,-0.4,negative
miscommunication,-0.65,negative
misconduct,-0.5,negative
misdated,-0.25,negative
misdeed,-0.5,negative
misdemeanor,-0.45,negative
misdirect,-0.5,negative
miserable,-0.6,negative
miserly,-0.45,negative
misery,-0.65,negative
misfeasance,-0.4,negative
misfortune,-0.45,negative
misgiving,-0.4,negative
mishandle,-0.5,negative
mishap,-0.5,negative
misinform,-0.4,negative
misinformation,-0.5,negative
misinterpret,-0.4,negative
misinterpretation,-0.45,negative
misjudge,-0.3,negative
misjudgment,-0.4,negative
mislabel,-0.3,negative
mislead,-0.7,negative
misleadingly,-0.4,negative
mismanage,-0.4,negative
mismanaged,-0.8,negative
mismanagement,-0.5,negative
mismatch,-0.3,negative
misperceive,-0.4,negative
misplace,-0.4,negative
misprice,-0.35,negative
mispricing,-0.45,negative
misread,-0.4,negative
misreport,-0.45,negative
misrepresent,-0.6,negative
misrepresentation,-0.5,negative
miss,-0.25,negative
misstate,-0.4,negative
misstatement,-0.4,negative
misstep,-0.3,negative
mistake,-0.35,negative
mistakenly,-0.35,negative
mistreat,-0.55,negative
mistrial,-0.3,negative
mistrust,-0.65,negative
misunderstand,-0.45,negative
moan,-0.45,negative
mobilize,0.55,positive
mock,-0.45,negative
modernization,0.3,positive
modernize,0.5,positive
modest,0.25,positive
momentum,0.4,positive
moneymaking,0.45,positive
monopolistic,-0.6,negative
monopolization,-0.7,negative
monopolize,-0.4,negative
monster,-0.45,negative
monumental,0.45,positive
moody,-0.35,negative
moot,-0.4,negative
morass,-0.35,negative
